Prison Name,Report_Date,Baseline CNA,In Use CNA,Operational Capacity,Population *,Year,Month,Occupancy_Percentage,Overcrowding_Status,Homicide,Natural Causes,Other,Self-Inflicted,Total_Deaths,start_period,end_period,A,B,C,D,YOI,Male,Female,Mixed,Female_open,Female_closed,Notes,Highest_category_male,Highest_category_female,start_date,end_date
Cookham Wood,2014-10-31,143,143.0,143.0,152.0,2014,10,106.2937062937063,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,1,1,0,0,0,0,Young Offender Institution for juveniles (15-18),YOI,Other,2014-10-01,2024-09-01
Dartmoor,2014-10-31,642,639.0,659.0,648.0,2014,10,101.40845070422534,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Functions as a training prison,C,Other,2014-10-01,2024-09-01
Deerbolt,2014-10-31,513,513.0,513.0,469.0,2014,10,91.42300194931774,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,1,1,0,0,0,0,Young Offender Institution,YOI,Other,2014-10-01,2024-09-01
Doncaster,2014-10-31,738,738.0,1145.0,1129.0,2014,10,152.9810298102981,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,1,1,0,0,0,0,"Operated by Serco; houses adults, young offenders, and sex offenders",B,Other,2014-10-01,2024-09-01
Dovegate,2014-10-31,1064,1060.0,1133.0,1116.0,2014,10,105.28301886792453,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Operated by Serco; functions as a training prison,B,Other,2014-10-01,2024-09-01
Downview,2014-10-31,355,0.0,0.0,0.0,2014,10,,,0.0,0.0,0.0,0.0,0.0,10-2014,05-2016,0,0,0,0,0,0,1,0,0,1,Closed women's prison (reopened in 2016),Other,Closed,2014-10-01,2016-05-01
Drake Hall,2014-10-31,315,315.0,315.0,312.0,2014,10,99.04761904761905,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,0,0,1,0,0,1,Closed women's prison; specializes in foreign nationals,Other,Closed,2014-10-01,2024-09-01
Durham,2014-10-31,591,591.0,1015.0,963.0,2014,10,162.94416243654823,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,1,1,0,0,0,0,Houses adults and young offenders on remand,B,Other,2014-10-01,2024-09-01
East Sutton Park,2014-10-31,98,98.0,100.0,91.0,2014,10,92.85714285714286,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,0,0,1,0,1,0,Open women's prison,Other,Open,2014-10-01,2024-09-01
Eastwood Park,2014-10-31,410,315.0,363.0,327.0,2014,10,103.80952380952382,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,0,0,1,0,0,1,Closed women's prison,Other,Closed,2014-10-01,2024-09-01
Elmley (Sheppey),2014-10-31,943,943.0,1252.0,1216.0,2014,10,128.95015906680806,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Erlestoke,2014-10-31,494,494.0,524.0,512.0,2014,10,103.64372469635627,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C training prison,C,Other,2014-10-01,2024-09-01
Exeter,2014-10-31,326,318.0,561.0,513.0,2014,10,161.32075471698113,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,1,1,0,0,0,0,Houses adults and young offenders,B,Other,2014-10-01,2024-09-01
Featherstone,2014-10-31,671,671.0,703.0,688.0,2014,10,102.53353204172878,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Functions as a training establishment,C,Other,2014-10-01,2024-09-01
Feltham,2014-10-31,762,650.0,650.0,543.0,2014,10,83.53846153846153,Below Capacity (<90%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,1,1,0,0,0,0,Young Offender Institution,YOI,Other,2014-10-01,2024-09-01
Ford,2014-10-31,521,521.0,539.0,447.0,2014,10,85.79654510556622,Below Capacity (<90%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,1,0,1,0,0,0,0,Category D open prison,D,Other,2014-10-01,2024-09-01
Forest Bank,2014-10-31,1064,1064.0,1460.0,1446.0,2014,10,135.90225563909775,Overcrowded (>100%),0.0,1.0,0.0,0.0,1.0,10-2014,09-2024,0,1,0,0,1,1,0,0,0,0,Operated by Sodexo Justice Services; houses adults and young offenders,B,Other,2014-10-01,2024-09-01
Foston Hall,2014-10-31,290,274.0,310.0,282.0,2014,10,102.91970802919708,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,0,0,1,0,0,1,Closed women's prison; houses adults and young offenders,Other,Closed,2014-10-01,2024-09-01
Frankland,2014-10-31,859,788.0,788.0,762.0,2014,10,96.7005076142132,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,1,0,0,0,0,1,0,0,0,0,High-security prison; houses Category A High Risk and Category B adult males,A,Other,2014-10-01,2024-09-01
Full Sutton,2014-10-31,604,596.0,618.0,593.0,2014,10,99.49664429530202,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,1,0,0,0,0,1,0,0,0,0,High-security prison; houses Category A prisoners,A,Other,2014-10-01,2024-09-01
Garth,2014-10-31,811,763.0,798.0,763.0,2014,10,100.0,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B training establishment,B,Other,2014-10-01,2024-09-01
Gartree,2014-10-31,708,708.0,725.0,722.0,2014,10,101.97740112994352,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B training prison,B,Other,2014-10-01,2024-09-01
Glen Parva,2014-10-31,637,637.0,728.0,606.0,2014,10,95.13343799058084,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,06-2017,0,0,0,0,1,1,0,0,0,0,Young Offender Institution (18-21); Closed in 06-2017,YOI,Other,2014-10-01,2017-06-01
Grendon / Springhill,2014-10-31,586,554.0,554.0,535.0,2014,10,96.57039711191335,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,1,0,1,0,0,0,0,"Grendon = Category B (therapeutic community), Springhill = Category D (open)",B,Other,2014-10-01,2024-09-01
Guys Marsh,2014-10-31,518,518.0,579.0,549.0,2014,10,105.98455598455598,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C training prison,C,Other,2014-10-01,2024-09-01
Haverigg,2014-10-31,622,622.0,654.0,640.0,2014,10,102.89389067524115,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C training prison,C,Other,2014-10-01,2024-09-01
Hewell,2014-10-31,1003,1003.0,1301.0,1296.0,2014,10,129.2123629112662,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Primarily Category B local (open site closed in 2020),B,Other,2014-10-01,2024-09-01
High Down,2014-10-31,999,999.0,1163.0,1142.0,2014,10,114.31431431431432,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Highpoint (North and South),2014-10-31,1311,1311.0,1343.0,1326.0,2014,10,101.14416475972541,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C training prison,C,Other,2014-10-01,2024-09-01
Hindley,2014-10-31,534,402.0,367.0,321.0,2014,10,79.8507462686567,Below Capacity (<90%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,1,1,0,0,0,0,"Re-rolled to Cat C for adult men, still holds some YOs/young adults",C,Other,2014-10-01,2024-09-01
Hollesley Bay,2014-10-31,437,437.0,437.0,407.0,2014,10,93.13501144164759,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,1,0,1,0,0,0,0,Category D open prison,D,Other,2014-10-01,2024-09-01
Holloway,2014-10-31,540,533.0,591.0,529.0,2014,10,99.24953095684803,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,06-2016,0,0,0,0,0,0,1,0,0,1,Closed women's prison (closed in 2016); Closed in 06-2016,Other,Closed,2014-10-01,2016-06-01
Holme House,2014-10-31,1036,1036.0,1230.0,1193.0,2014,10,115.15444015444017,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,05-2017,0,1,0,0,0,1,0,0,0,0,Changed from local (B) to Cat C prison in May 2017,B,Other,2014-10-01,2017-05-01
Hull,2014-10-31,723,723.0,1044.0,1004.0,2014,10,138.86583679114798,Overcrowded (>100%),0.0,1.0,0.0,0.0,1.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Humber,2014-10-31,948,924.0,1062.0,1016.0,2014,10,109.95670995670996,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C training prison,C,Other,2014-10-01,2024-09-01
Huntercombe,2014-10-31,370,309.0,417.0,401.0,2014,10,129.7734627831715,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison (foreign nationals),C,Other,2014-10-01,2024-09-01
Isis,2014-10-31,478,478.0,628.0,604.0,2014,10,126.35983263598327,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,1,1,0,0,0,0,"Officially a Cat C prison, also designated as a YOI for 18-21 (London area)",C,Other,2014-10-01,2024-09-01
Isle of Wight,2014-10-31,1056,1056.0,1147.0,1140.0,2014,10,107.95454545454545,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Primarily Category B (combining ex-Parkhurst/Albany),B,Other,2014-10-01,2024-09-01
Kennet,2014-10-31,175,175.0,342.0,260.0,2014,10,148.57142857142858,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,12-2016,0,0,1,0,0,1,0,0,0,0,Category C prison (closed in 2016); Closed in 12-2016,C,Other,2014-10-01,2016-12-01
Kirkham,2014-10-31,657,657.0,657.0,562.0,2014,10,85.54033485540334,Below Capacity (<90%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,1,0,1,0,0,0,0,Category D open prison,D,Other,2014-10-01,2024-09-01
Kirklevington Grange,2014-10-31,283,283.0,303.0,273.0,2014,10,96.46643109540636,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,1,0,1,0,0,0,0,Category D open resettlement prison,D,Other,2014-10-01,2024-09-01
Lancaster Farms,2014-10-31,495,495.0,549.0,435.0,2014,10,87.87878787878788,Below Capacity (<90%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison,C,Other,2014-10-01,2024-09-01
Leeds,2014-10-31,669,669.0,1224.0,1202.0,2014,10,179.6711509715994,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Leicester,2014-10-31,214,214.0,414.0,366.0,2014,10,171.02803738317758,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Lewes,2014-10-31,624,624.0,729.0,670.0,2014,10,107.37179487179486,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Leyhill,2014-10-31,527,527.0,527.0,451.0,2014,10,85.57874762808349,Below Capacity (<90%),0.0,2.0,0.0,0.0,2.0,10-2014,09-2024,0,0,0,1,0,1,0,0,0,0,Category D open prison,D,Other,2014-10-01,2024-09-01
Lincoln,2014-10-31,408,403.0,739.0,620.0,2014,10,153.84615384615387,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Lindholme,2014-10-31,1048,924.0,1010.0,1009.0,2014,10,109.1991341991342,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C training prison,C,Other,2014-10-01,2024-09-01
Littlehey,2014-10-31,1140,1139.0,1205.0,1203.0,2014,10,105.61896400351185,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,1,1,0,0,0,0,"Adult side = Cat C, YOI side (18-21)",C,Other,2014-10-01,2024-09-01
Liverpool,2014-10-31,1173,1159.0,1442.0,1230.0,2014,10,106.12597066436584,Overcrowded (>100%),0.0,1.0,0.0,0.0,1.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Long Lartin,2014-10-31,629,622.0,643.0,617.0,2014,10,99.19614147909968,At Capacity (90-100%),0.0,1.0,0.0,0.0,1.0,10-2014,09-2024,1,0,0,0,0,1,0,0,0,0,Category A high security prison,A,Other,2014-10-01,2024-09-01
Low Newton,2014-10-31,314,291.0,329.0,306.0,2014,10,105.15463917525774,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,0,0,1,0,0,1,Closed women's prison,Other,Closed,2014-10-01,2024-09-01
Lowdham Grange,2014-10-31,900,900.0,920.0,918.0,2014,10,102.0,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B prison (privately operated),B,Other,2014-10-01,2024-09-01
Maidstone,2014-10-31,565,565.0,614.0,602.0,2014,10,106.54867256637168,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison,C,Other,2014-10-01,2024-09-01
Manchester,2014-10-31,965,965.0,1301.0,1109.0,2014,10,114.92227979274612,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,1,0,0,0,0,1,0,0,0,0,Category A high security prison (Strangeways),A,Other,2014-10-01,2024-09-01
Moorland / Hatfield,2014-10-31,1209,1209.0,1293.0,1284.0,2014,10,106.20347394540943,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,01-2015,0,0,1,1,0,1,0,0,0,0,"Moorland = Category C, Hatfield = Category D (open)",C,Other,2014-10-01,2015-01-01
Mount,2014-10-31,748,748.0,782.0,777.0,2014,10,103.87700534759358,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison,C,Other,2014-10-01,2024-09-01
New Hall,2014-10-31,395,371.0,425.0,387.0,2014,10,104.31266846361187,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,1,0,1,0,0,1,"Closed women's prison (for adult women, plus young offenders)",Other,Closed,2014-10-01,2024-09-01
North Sea Camp,2014-10-31,420,420.0,420.0,359.0,2014,10,85.47619047619047,Below Capacity (<90%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,1,0,1,0,0,0,0,Category D open prison,D,Other,2014-10-01,2024-09-01
Northumberland,2014-10-31,1348,1348.0,1348.0,1321.0,2014,10,97.99703264094956,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C training prison,C,Other,2014-10-01,2024-09-01
Norwich,2014-10-31,626,626.0,783.0,739.0,2014,10,118.05111821086263,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Nottingham,2014-10-31,723,723.0,1060.0,1040.0,2014,10,143.8450899031812,Overcrowded (>100%),0.0,1.0,0.0,0.0,1.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Oakwood,2014-10-31,1605,1605.0,1605.0,1552.0,2014,10,96.69781931464175,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison (private),C,Other,2014-10-01,2024-09-01
Onley,2014-10-31,742,742.0,747.0,733.0,2014,10,98.78706199460916,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison,C,Other,2014-10-01,2024-09-01
Parc,2014-10-31,1170,1170.0,1474.0,1463.0,2014,10,125.04273504273505,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,1,1,0,0,0,0,"Mainly Cat B local/training, has a separate YOI/juvenile unit (run by G4S)",B,Other,2014-10-01,2024-09-01
Pentonville,2014-10-31,915,915.0,1316.0,1290.0,2014,10,140.98360655737704,Overcrowded (>100%),0.0,0.0,1.0,0.0,1.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Peterborough (Male & Female),2014-10-31,840,827.0,1008.0,979.0,2014,10,118.37968561064088,Overcrowded (>100%),0.0,1.0,0.0,0.0,1.0,10-2014,09-2024,0,1,0,0,0,0,0,1,0,1,The only dual-purpose prison in England & Wales,B,Closed,2014-10-01,2024-09-01
Portland,2014-10-31,464,464.0,580.0,541.0,2014,10,116.59482758620689,Overcrowded (>100%),0.0,0.0,0.0,1.0,1.0,10-2014,09-2024,0,0,1,0,1,1,0,0,0,0,"Primarily Cat C adult, YOI/young adults side",C,Other,2014-10-01,2024-09-01
Preston,2014-10-31,456,434.0,800.0,704.0,2014,10,162.21198156682027,Overcrowded (>100%),0.0,0.0,0.0,1.0,1.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
Ranby,2014-10-31,893,892.0,1098.0,1066.0,2014,10,119.50672645739911,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison,C,Other,2014-10-01,2024-09-01
Risley,2014-10-31,1050,1050.0,1115.0,1102.0,2014,10,104.95238095238095,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison,C,Other,2014-10-01,2024-09-01
Rochester,2014-10-31,802,742.0,754.0,740.0,2014,10,99.73045822102425,At Capacity (90-100%),1.0,1.0,0.0,0.0,2.0,10-2014,09-2024,0,0,1,0,1,1,0,0,0,0,"Adult side = Cat C, YOI side (18-21)",C,Other,2014-10-01,2024-09-01
Rye Hill,2014-10-31,600,600.0,625.0,621.0,2014,10,103.49999999999999,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,"Category B prison (private, mainly for sex offenders)",B,Other,2014-10-01,2024-09-01
Send,2014-10-31,282,282.0,282.0,277.0,2014,10,98.22695035460993,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,0,0,1,0,0,1,Closed women's prison,Other,Closed,2014-10-01,2024-09-01
Stafford,2014-10-31,741,741.0,751.0,707.0,2014,10,95.41160593792173,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison (specializes in sex offenders),C,Other,2014-10-01,2024-09-01
Standford Hill (Sheppey),2014-10-31,464,464.0,464.0,455.0,2014,10,98.0603448275862,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,1,0,1,0,0,0,0,Category D open prison,D,Other,2014-10-01,2024-09-01
Stocken,2014-10-31,768,768.0,853.0,845.0,2014,10,110.02604166666667,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison,C,Other,2014-10-01,2024-09-01
Stoke Heath,2014-10-31,662,602.0,722.0,701.0,2014,10,116.44518272425248,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,1,0,0,1,0,0,0,0,Category C prison,C,Other,2014-10-01,2024-09-01
Styal,2014-10-31,454,445.0,460.0,444.0,2014,10,99.7752808988764,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,0,0,0,1,0,0,1,Closed women's prison (with some open units),Other,Closed,2014-10-01,2024-09-01
Sudbury,2014-10-31,581,581.0,600.0,500.0,2014,10,86.05851979345955,Below Capacity (<90%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,0,0,1,0,1,0,0,0,0,Category D open prison,D,Other,2014-10-01,2024-09-01
Swaleside (Sheppey),2014-10-31,1112,1112.0,1112.0,1112.0,2014,10,100.0,At Capacity (90-100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B training prison,B,Other,2014-10-01,2024-09-01
Swansea,2014-10-31,250,242.0,455.0,433.0,2014,10,178.92561983471074,Overcrowded (>100%),0.0,0.0,0.0,0.0,0.0,10-2014,09-2024,0,1,0,0,0,1,0,0,0,0,Category B local prison,B,Other,2014-10-01,2024-09-01
